department	skill	source_path	source_commit	disposition	local_equivalents	destination	activation	sensitive	review	rationale
data-analytics	ai-ml-governance	plugins/data-analytics/skills/ai-ml-governance/SKILL.md	1f3f550	missing	-	organizations/data-analytics/skills/ai-ml-governance	candidate-auto	no	semantic-reviewed	Distinct data-analytics workflow; no adequate local equivalent found in body-level comparison
data-analytics	business-intelligence	plugins/data-analytics/skills/business-intelligence/SKILL.md	1f3f550	missing	-	organizations/data-analytics/skills/business-intelligence	candidate-auto	no	semantic-reviewed	Distinct data-analytics workflow; no adequate local equivalent found in body-level comparison
data-analytics	chief-data-officer	plugins/data-analytics/skills/chief-data-officer/SKILL.md	1f3f550	missing	-	organizations/data-analytics/skills/chief-data-officer	explicit	no	boundary-review	Distinct data-analytics workflow; no adequate local equivalent found in body-level comparison
data-analytics	data-engineering	plugins/data-analytics/skills/data-engineering/SKILL.md	1f3f550	missing	-	organizations/data-analytics/skills/data-engineering	candidate-auto	no	semantic-reviewed	Distinct data-analytics workflow; no adequate local equivalent found in body-level comparison
data-analytics	data-governance	plugins/data-analytics/skills/data-governance/SKILL.md	1f3f550	missing	-	organizations/data-analytics/skills/data-governance	candidate-auto	no	semantic-reviewed	Distinct data-analytics workflow; no adequate local equivalent found in body-level comparison
data-analytics	data-modeling	plugins/data-analytics/skills/data-modeling/SKILL.md	1f3f550	missing	-	organizations/data-analytics/skills/data-modeling	candidate-auto	no	semantic-reviewed	Distinct data-analytics workflow; no adequate local equivalent found in body-level comparison
demand-generation	ai-search-optimization	plugins/demand-generation/skills/ai-search-optimization/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/ai-search-optimization	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	app-store-optimization	plugins/demand-generation/skills/app-store-optimization/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/app-store-optimization	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	experimentation	plugins/demand-generation/skills/experimentation/SKILL.md	1f3f550	covered	evaluation	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
demand-generation	landing-page-cro-expert	plugins/demand-generation/skills/landing-page-cro-expert/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/landing-page-cro-expert	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	lead-capture	plugins/demand-generation/skills/lead-capture/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/lead-capture	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	lifecycle-messaging	plugins/demand-generation/skills/lifecycle-messaging/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/lifecycle-messaging	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	listing-distribution	plugins/demand-generation/skills/listing-distribution/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/listing-distribution	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	marketing-analytics	plugins/demand-generation/skills/marketing-analytics/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/marketing-analytics	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	paid-advertising	plugins/demand-generation/skills/paid-advertising/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/paid-advertising	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	programmatic-seo	plugins/demand-generation/skills/programmatic-seo/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/programmatic-seo	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
demand-generation	seo-strategy	plugins/demand-generation/skills/seo-strategy/SKILL.md	1f3f550	missing	-	organizations/demand-generation/skills/seo-strategy	candidate-auto	no	semantic-reviewed	Distinct demand-generation workflow; no adequate local equivalent found in body-level comparison
executive	agent-hierarchy	plugins/executive/skills/agent-hierarchy/SKILL.md	1f3f550	missing	-	organizations/executive/skills/agent-hierarchy	explicit	yes	boundary-review	Distinct executive workflow; no adequate local equivalent found in body-level comparison
executive	ai-research-analyst	plugins/executive/skills/ai-research-analyst/SKILL.md	1f3f550	missing	-	organizations/executive/skills/ai-research-analyst	explicit	yes	boundary-review	Distinct executive workflow; no adequate local equivalent found in body-level comparison
executive	business-growth-consultant	plugins/executive/skills/business-growth-consultant/SKILL.md	1f3f550	missing	-	organizations/executive/skills/business-growth-consultant	explicit	yes	boundary-review	Distinct executive workflow; no adequate local equivalent found in body-level comparison
executive	ceo-advisor	plugins/executive/skills/ceo-advisor/SKILL.md	1f3f550	missing	-	organizations/executive/skills/ceo-advisor	explicit	yes	boundary-review	Distinct executive workflow; no adequate local equivalent found in body-level comparison
executive	chief-executive	plugins/executive/skills/chief-executive/SKILL.md	1f3f550	missing	-	organizations/executive/skills/chief-executive	explicit	yes	boundary-review	Distinct executive workflow; no adequate local equivalent found in body-level comparison
executive	saas-idea-validator	plugins/executive/skills/saas-idea-validator/SKILL.md	1f3f550	missing	-	organizations/executive/skills/saas-idea-validator	explicit	yes	boundary-review	Distinct executive workflow; no adequate local equivalent found in body-level comparison
finance	budgeting-and-forecasting	plugins/finance/skills/budgeting-and-forecasting/SKILL.md	1f3f550	missing	-	organizations/finance/skills/budgeting-and-forecasting	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	capital-allocation	plugins/finance/skills/capital-allocation/SKILL.md	1f3f550	missing	-	organizations/finance/skills/capital-allocation	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	chief-financial-officer	plugins/finance/skills/chief-financial-officer/SKILL.md	1f3f550	missing	-	organizations/finance/skills/chief-financial-officer	explicit	yes	boundary-review	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	financial-modeling	plugins/finance/skills/financial-modeling/SKILL.md	1f3f550	missing	-	organizations/finance/skills/financial-modeling	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	financial-reporting-and-close	plugins/finance/skills/financial-reporting-and-close/SKILL.md	1f3f550	missing	-	organizations/finance/skills/financial-reporting-and-close	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	internal-controls-and-audit	plugins/finance/skills/internal-controls-and-audit/SKILL.md	1f3f550	missing	-	organizations/finance/skills/internal-controls-and-audit	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	revenue-recognition	plugins/finance/skills/revenue-recognition/SKILL.md	1f3f550	missing	-	organizations/finance/skills/revenue-recognition	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	tax	plugins/finance/skills/tax/SKILL.md	1f3f550	missing	-	organizations/finance/skills/tax	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	treasury-and-liquidity	plugins/finance/skills/treasury-and-liquidity/SKILL.md	1f3f550	missing	-	organizations/finance/skills/treasury-and-liquidity	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
finance	unit-economics	plugins/finance/skills/unit-economics/SKILL.md	1f3f550	missing	-	organizations/finance/skills/unit-economics	explicit	yes	semantic-reviewed	Distinct finance workflow; no adequate local equivalent found in body-level comparison
it-operations	backup-and-recovery	plugins/it-operations/skills/backup-and-recovery/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/backup-and-recovery	explicit	yes	semantic-reviewed	High-impact restore and retention operations require explicit authorization and safety review
it-operations	chief-information-officer	plugins/it-operations/skills/chief-information-officer/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/chief-information-officer	explicit	no	boundary-review	Distinct it-operations workflow; no adequate local equivalent found in body-level comparison
it-operations	endpoint-management	plugins/it-operations/skills/endpoint-management/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/endpoint-management	explicit	yes	semantic-reviewed	High-impact endpoint control operations require explicit authorization and target review
it-operations	identity-lifecycle-administration	plugins/it-operations/skills/identity-lifecycle-administration/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/identity-lifecycle-administration	explicit	yes	semantic-reviewed	High-impact account and access changes require explicit authorization and continuity review
it-operations	it-asset-management	plugins/it-operations/skills/it-asset-management/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/it-asset-management	explicit	yes	semantic-reviewed	High-impact disposal and storage operations require explicit authorization and evidence review
it-operations	network-administration	plugins/it-operations/skills/network-administration/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/network-administration	explicit	yes	semantic-reviewed	High-impact network and trust-boundary changes require explicit authorization and rollback review
it-operations	service-desk	plugins/it-operations/skills/service-desk/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/service-desk	candidate-auto	no	semantic-reviewed	Distinct it-operations workflow; no adequate local equivalent found in body-level comparison
it-operations	systems-administration	plugins/it-operations/skills/systems-administration/SKILL.md	1f3f550	missing	-	organizations/it-operations/skills/systems-administration	explicit	yes	semantic-reviewed	High-impact system changes require explicit authorization and recovery review
legal-risk	chief-legal-and-risk-officer	plugins/legal-risk/skills/chief-legal-and-risk-officer/SKILL.md	1f3f550	missing	-	organizations/legal-risk/skills/chief-legal-and-risk-officer	explicit	yes	boundary-review	Distinct legal-risk workflow; no adequate local equivalent found in body-level comparison
legal-risk	contract-review	plugins/legal-risk/skills/contract-review/SKILL.md	1f3f550	missing	-	organizations/legal-risk/skills/contract-review	explicit	yes	semantic-reviewed	Distinct legal-risk workflow; no adequate local equivalent found in body-level comparison
legal-risk	corporate-governance	plugins/legal-risk/skills/corporate-governance/SKILL.md	1f3f550	missing	-	organizations/legal-risk/skills/corporate-governance	explicit	yes	semantic-reviewed	Distinct legal-risk workflow; no adequate local equivalent found in body-level comparison
legal-risk	enterprise-risk	plugins/legal-risk/skills/enterprise-risk/SKILL.md	1f3f550	missing	-	organizations/legal-risk/skills/enterprise-risk	explicit	yes	semantic-reviewed	Distinct legal-risk workflow; no adequate local equivalent found in body-level comparison
legal-risk	privacy-and-data-protection	plugins/legal-risk/skills/privacy-and-data-protection/SKILL.md	1f3f550	missing	-	organizations/legal-risk/skills/privacy-and-data-protection	explicit	yes	semantic-reviewed	Distinct legal-risk workflow; no adequate local equivalent found in body-level comparison
legal-risk	regulatory-compliance	plugins/legal-risk/skills/regulatory-compliance/SKILL.md	1f3f550	missing	-	organizations/legal-risk/skills/regulatory-compliance	explicit	yes	semantic-reviewed	Distinct legal-risk workflow; no adequate local equivalent found in body-level comparison
marketing	behavioral-marketing	plugins/marketing/skills/behavioral-marketing/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/behavioral-marketing	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	brand-voice	plugins/marketing/skills/brand-voice/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/brand-voice	candidate-auto	no	boundary-review	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	chief-content-officer	plugins/marketing/skills/chief-content-officer/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/chief-content-officer	explicit	no	boundary-review	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	chief-marketing-officer	plugins/marketing/skills/chief-marketing-officer/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/chief-marketing-officer	explicit	no	boundary-review	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	content-strategy	plugins/marketing/skills/content-strategy/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/content-strategy	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	customer-research	plugins/marketing/skills/customer-research/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/customer-research	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	events-and-field-marketing	plugins/marketing/skills/events-and-field-marketing/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/events-and-field-marketing	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	marketing-campaign-planner	plugins/marketing/skills/marketing-campaign-planner/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/marketing-campaign-planner	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	marketing-copywriting	plugins/marketing/skills/marketing-copywriting/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/marketing-copywriting	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	marketing-planning	plugins/marketing/skills/marketing-planning/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/marketing-planning	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	newsletter-writer	plugins/marketing/skills/newsletter-writer/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/newsletter-writer	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	partnership-marketing	plugins/marketing/skills/partnership-marketing/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/partnership-marketing	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	positioning-and-messaging	plugins/marketing/skills/positioning-and-messaging/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/positioning-and-messaging	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	public-relations	plugins/marketing/skills/public-relations/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/public-relations	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	social-post-craft	plugins/marketing/skills/social-post-craft/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/social-post-craft	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	video-content	plugins/marketing/skills/video-content/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/video-content	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	visual-content	plugins/marketing/skills/visual-content/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/visual-content	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
marketing	youtube-producer	plugins/marketing/skills/youtube-producer/SKILL.md	1f3f550	missing	-	organizations/marketing/skills/youtube-producer	candidate-auto	no	semantic-reviewed	Distinct marketing workflow; no adequate local equivalent found in body-level comparison
operations	business-continuity-and-resilience	plugins/operations/skills/business-continuity-and-resilience/SKILL.md	1f3f550	missing	-	organizations/operations/skills/business-continuity-and-resilience	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	capacity-and-demand-planning	plugins/operations/skills/capacity-and-demand-planning/SKILL.md	1f3f550	missing	-	organizations/operations/skills/capacity-and-demand-planning	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	chief-operating-officer	plugins/operations/skills/chief-operating-officer/SKILL.md	1f3f550	missing	-	organizations/operations/skills/chief-operating-officer	explicit	no	boundary-review	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	facilities-and-workplace	plugins/operations/skills/facilities-and-workplace/SKILL.md	1f3f550	missing	-	organizations/operations/skills/facilities-and-workplace	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	process-design	plugins/operations/skills/process-design/SKILL.md	1f3f550	missing	-	organizations/operations/skills/process-design	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	procurement-and-sourcing	plugins/operations/skills/procurement-and-sourcing/SKILL.md	1f3f550	missing	-	organizations/operations/skills/procurement-and-sourcing	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	quality-management	plugins/operations/skills/quality-management/SKILL.md	1f3f550	missing	-	organizations/operations/skills/quality-management	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	service-level-management	plugins/operations/skills/service-level-management/SKILL.md	1f3f550	missing	-	organizations/operations/skills/service-level-management	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	supply-chain-and-logistics	plugins/operations/skills/supply-chain-and-logistics/SKILL.md	1f3f550	missing	-	organizations/operations/skills/supply-chain-and-logistics	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
operations	vendor-management	plugins/operations/skills/vendor-management/SKILL.md	1f3f550	missing	-	organizations/operations/skills/vendor-management	candidate-auto	no	semantic-reviewed	Distinct operations workflow; no adequate local equivalent found in body-level comparison
people	benefits-and-leave	plugins/people/skills/benefits-and-leave/SKILL.md	1f3f550	missing	-	organizations/people/skills/benefits-and-leave	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	chief-human-resources-officer	plugins/people/skills/chief-human-resources-officer/SKILL.md	1f3f550	missing	-	organizations/people/skills/chief-human-resources-officer	explicit	yes	boundary-review	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	compensation-and-leveling	plugins/people/skills/compensation-and-leveling/SKILL.md	1f3f550	missing	-	organizations/people/skills/compensation-and-leveling	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	employee-relations	plugins/people/skills/employee-relations/SKILL.md	1f3f550	missing	-	organizations/people/skills/employee-relations	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	hiring-and-interviewing	plugins/people/skills/hiring-and-interviewing/SKILL.md	1f3f550	missing	-	organizations/people/skills/hiring-and-interviewing	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	learning-and-development	plugins/people/skills/learning-and-development/SKILL.md	1f3f550	missing	-	organizations/people/skills/learning-and-development	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	onboarding-and-offboarding	plugins/people/skills/onboarding-and-offboarding/SKILL.md	1f3f550	missing	-	organizations/people/skills/onboarding-and-offboarding	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	org-design	plugins/people/skills/org-design/SKILL.md	1f3f550	missing	-	organizations/people/skills/org-design	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	performance-management	plugins/people/skills/performance-management/SKILL.md	1f3f550	missing	-	organizations/people/skills/performance-management	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
people	workforce-planning	plugins/people/skills/workforce-planning/SKILL.md	1f3f550	missing	-	organizations/people/skills/workforce-planning	explicit	yes	semantic-reviewed	Distinct people workflow; no adequate local equivalent found in body-level comparison
pmo	benefits-realization	plugins/pmo/skills/benefits-realization/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/benefits-realization	candidate-auto	no	semantic-reviewed	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
pmo	change-and-adoption	plugins/pmo/skills/change-and-adoption/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/change-and-adoption	candidate-auto	no	semantic-reviewed	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
pmo	dependency-and-risk-management	plugins/pmo/skills/dependency-and-risk-management/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/dependency-and-risk-management	candidate-auto	no	semantic-reviewed	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
pmo	head-of-pmo	plugins/pmo/skills/head-of-pmo/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/head-of-pmo	explicit	no	boundary-review	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
pmo	portfolio-governance	plugins/pmo/skills/portfolio-governance/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/portfolio-governance	candidate-auto	no	semantic-reviewed	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
pmo	program-management	plugins/pmo/skills/program-management/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/program-management	candidate-auto	no	semantic-reviewed	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
pmo	project-delivery	plugins/pmo/skills/project-delivery/SKILL.md	1f3f550	missing	-	organizations/pmo/skills/project-delivery	candidate-auto	no	semantic-reviewed	Distinct pmo workflow; no adequate local equivalent found in body-level comparison
product	brand-identity	plugins/product/skills/brand-identity/SKILL.md	1f3f550	covered	design/brand-guidelines	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
product	chief-product-officer	plugins/product/skills/chief-product-officer/SKILL.md	1f3f550	missing	-	organizations/product/skills/chief-product-officer	explicit	no	boundary-review	Distinct product workflow; no adequate local equivalent found in body-level comparison
product	design-styles	plugins/product/skills/design-styles/SKILL.md	1f3f550	covered	design/theme-factory	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
product	design-system	plugins/product/skills/design-system/SKILL.md	1f3f550	covered	frontend/frontend-development; frontend/ui-styling	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
product	interface-craft	plugins/product/skills/interface-craft/SKILL.md	1f3f550	covered	frontend/frontend-design	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
product	interface-redesign	plugins/product/skills/interface-redesign/SKILL.md	1f3f550	missing	-	organizations/product/skills/interface-redesign	candidate-auto	no	semantic-reviewed	Distinct product workflow; no adequate local equivalent found in body-level comparison
product	presentation-design	plugins/product/skills/presentation-design/SKILL.md	1f3f550	covered	design/artifacts-builder	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
product	ux-product-auditor	plugins/product/skills/ux-product-auditor/SKILL.md	1f3f550	missing	-	organizations/product/skills/ux-product-auditor	candidate-auto	no	semantic-reviewed	Distinct product workflow; no adequate local equivalent found in body-level comparison
product	visual-reference-generation	plugins/product/skills/visual-reference-generation/SKILL.md	1f3f550	missing	-	organizations/product/skills/visual-reference-generation	candidate-auto	no	semantic-reviewed	Distinct product workflow; no adequate local equivalent found in body-level comparison
revenue	activation	plugins/revenue/skills/activation/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/activation	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	chief-revenue-officer	plugins/revenue/skills/chief-revenue-officer/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/chief-revenue-officer	explicit	no	boundary-review	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	outbound-prospecting	plugins/revenue/skills/outbound-prospecting/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/outbound-prospecting	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	pricing-and-packaging	plugins/revenue/skills/pricing-and-packaging/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/pricing-and-packaging	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	referral-programs	plugins/revenue/skills/referral-programs/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/referral-programs	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	retention	plugins/revenue/skills/retention/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/retention	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	revenue-operations	plugins/revenue/skills/revenue-operations/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/revenue-operations	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
revenue	sales-enablement	plugins/revenue/skills/sales-enablement/SKILL.md	1f3f550	missing	-	organizations/revenue/skills/sales-enablement	candidate-auto	no	semantic-reviewed	Distinct revenue workflow; no adequate local equivalent found in body-level comparison
security	access-and-identity	plugins/security/skills/access-and-identity/SKILL.md	1f3f550	missing	-	organizations/security/skills/access-and-identity	explicit	yes	semantic-reviewed	Distinct security workflow; no adequate local equivalent found in body-level comparison
security	chief-information-security-officer	plugins/security/skills/chief-information-security-officer/SKILL.md	1f3f550	missing	-	organizations/security/skills/chief-information-security-officer	explicit	yes	boundary-review	Distinct security workflow; no adequate local equivalent found in body-level comparison
security	incident-response	plugins/security/skills/incident-response/SKILL.md	1f3f550	missing	-	organizations/security/skills/incident-response	explicit	yes	semantic-reviewed	Distinct security workflow; no adequate local equivalent found in body-level comparison
security	security-architecture-review	plugins/security/skills/security-architecture-review/SKILL.md	1f3f550	missing	-	organizations/security/skills/security-architecture-review	explicit	yes	semantic-reviewed	Distinct security workflow; no adequate local equivalent found in body-level comparison
security	threat-modeling	plugins/security/skills/threat-modeling/SKILL.md	1f3f550	covered	security/security-pro-pack	-	excluded	no	semantic-reviewed	Existing local workflow materially covers capability
